Y,X,R,G,B
0,0,255,255,255
0,1,255,255,255
0,2,255,255,255
0,3,255,255,255
0,4,255,255,255
0,5,255,255,255
0,6,255,255,255
0,7,255,255,255
0,8,255,255,255
0,9,255,255,255
0,10,255,255,255
0,11,255,255,255
0,12,255,255,255
0,13,255,255,255
0,14,255,255,255
0,15,255,255,255
0,16,255,255,255
0,17,255,255,255
0,18,255,255,255
0,19,255,255,255
0,20,255,255,255
0,21,255,255,255
0,22,255,255,255
0,23,255,255,255
0,24,255,255,255
0,25,255,255,255
0,26,255,255,255
0,27,255,255,255
0,28,255,255,255
0,29,255,255,255
0,30,255,255,255
0,31,255,255,255
0,32,255,255,255
0,33,255,255,255
0,34,255,255,255
0,35,255,255,255
0,36,255,255,255
0,37,255,255,255
0,38,255,255,255
0,39,255,255,255
0,40,255,255,255
0,41,255,255,255
0,42,255,255,255
0,43,255,255,255
0,44,255,255,255
0,45,255,255,255
0,46,255,255,255
0,47,255,255,255
0,48,255,255,255
0,49,255,255,255
1,0,255,255,255
1,1,255,255,255
1,2,255,255,255
1,3,255,255,255
1,4,255,255,255
1,5,255,255,255
1,6,255,255,255
1,7,255,255,255
1,8,253,254,254
1,9,253,254,255
1,10,255,255,255
1,11,255,255,255
1,12,255,255,255
1,13,255,255,255
1,14,255,255,255
1,15,255,255,255
1,16,255,255,255
1,17,255,255,255
1,18,255,255,255
1,19,255,255,255
1,20,255,255,255
1,21,255,255,255
1,22,255,255,255
1,23,255,255,255
1,24,255,255,255
1,25,255,255,255
1,26,255,255,255
1,27,255,255,255
1,28,255,255,255
1,29,255,255,255
1,30,255,255,255
1,31,255,255,255
1,32,255,255,255
1,33,255,255,255
1,34,255,255,255
1,35,254,255,255
1,36,252,255,255
1,37,249,252,253
1,38,245,249,250
1,39,242,246,246
1,40,238,243,243
1,41,237,242,242
1,42,253,253,253
1,43,255,255,255
1,44,255,255,255
1,45,255,255,255
1,46,255,255,255
1,47,255,255,255
1,48,255,255,255
1,49,255,255,255
2,0,255,255,255
2,1,255,255,255
2,2,255,255,255
2,3,255,255,255
2,4,255,255,255
2,5,255,255,255
2,6,255,255,255
2,7,255,255,255
2,8,225,227,223
2,9,214,216,209
2,10,219,222,217
2,11,213,216,213
2,12,221,224,221
2,13,229,234,231
2,14,227,232,230
2,15,228,233,232
2,16,229,235,235
2,17,236,241,241
2,18,246,250,250
2,19,241,245,246
2,20,241,246,246
2,21,243,247,248
2,22,246,250,250
2,23,247,250,251
2,24,249,251,252
2,25,248,251,252
2,26,248,251,252
2,27,245,248,249
2,28,244,248,249
2,29,251,254,254
2,30,240,246,246
2,31,232,237,236
2,32,221,227,225
2,33,220,225,222
2,34,212,216,212
2,35,206,207,201
2,36,203,200,191
2,37,202,195,184
2,38,195,187,176
2,39,188,179,170
2,40,183,172,161
2,41,213,203,193
2,42,254,254,254
2,43,255,255,255
2,44,255,255,255
2,45,255,255,255
2,46,255,255,255
2,47,255,255,255
2,48,255,255,255
2,49,255,255,255
3,0,255,255,255
3,1,255,255,255
3,2,255,255,255
3,3,255,255,255
3,4,255,255,255
3,5,255,255,255
3,6,255,255,255
3,7,255,255,255
3,8,241,235,229
3,9,206,183,161
3,10,209,182,162
3,11,195,176,158
3,12,202,183,164
3,13,203,184,165
3,14,205,184,165
3,15,206,190,172
3,16,217,204,186
3,17,206,195,181
3,18,193,192,183
3,19,197,195,185
3,20,192,183,171
3,21,194,183,171
3,22,209,202,190
3,23,211,205,193
3,24,201,195,184
3,25,203,199,187
3,26,197,190,177
3,27,196,187,178
3,28,197,184,174
3,29,196,188,180
3,30,193,177,163
3,31,201,179,162
3,32,184,160,146
3,33,199,176,158
3,34,198,171,151
3,35,197,167,146
3,36,186,157,135
3,37,185,156,135
3,38,163,140,123
3,39,192,163,142
3,40,190,157,137
3,41,233,223,215
3,42,255,255,255
3,43,255,255,255
3,44,255,255,255
3,45,255,255,255
3,46,255,255,255
3,47,255,255,255
3,48,255,255,255
3,49,255,255,255
4,0,255,255,255
4,1,255,255,255
4,2,255,255,255
4,3,255,255,255
4,4,255,255,255
4,5,255,255,255
4,6,255,255,255
4,7,255,255,255
4,8,252,252,251
4,9,211,208,175
4,10,191,181,139
4,11,197,173,152
4,12,208,186,165
4,13,209,187,166
4,14,204,184,167
4,15,209,192,174
