epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5907,1.22514,2.43985,1.77594,0.66141,0.5356,0.48747,0.36997,0.92549,2.85195,1.62654,0.000470594,0.000470594,0.000470594
2,191.046,0.90824,1.64059,1.43486,0.73046,0.48686,0.56174,0.43343,0.77642,3.62867,1.2091,0.000915679,0.000915679,0.000915679
3,281.821,0.8461,1.45634,1.38656,0.65934,0.81818,0.86331,0.7238,0.69968,1.51218,1.12404,0.00132933,0.00132933,0.00132933
4,373.066,0.83399,1.25938,1.34008,0.74953,0.46384,0.54772,0.25928,1.16416,2.89988,1.51502,0.00128753,0.00128753,0.00128753
5,464.557,0.76036,1.12409,1.30793,0.79438,0.7733,0.87395,0.67362,0.77909,1.31573,1.20249,0.00124037,0.00124037,0.00124037
6,555.726,0.75748,0.99532,1.28772,0.94533,0.91356,0.9499,0.79742,0.62125,1.07904,0.98765,0.00119322,0.00119322,0.00119322
7,646.561,0.703,0.93607,1.25108,0.77109,0.85586,0.89499,0.79697,0.45101,1.23875,0.81714,0.00114606,0.00114606,0.00114606
8,738.305,0.68882,0.85961,1.227,0.97886,0.96183,0.98104,0.80681,0.6377,0.86962,1.0325,0.0010989,0.0010989,0.0010989
9,829.402,0.63799,0.79391,1.22041,0.91269,0.92422,0.98041,0.87683,0.51966,0.74447,0.89581,0.00105174,0.00105174,0.00105174
10,920.178,0.60546,0.70331,1.19393,0.96373,0.94868,0.97372,0.8522,0.5344,0.67268,0.93169,0.00100459,0.00100459,0.00100459
11,1018.23,0.60456,0.69761,1.18151,0.92999,0.9098,0.96935,0.85355,0.51166,0.77095,0.87967,0.00095743,0.00095743,0.00095743
12,1108.63,0.57315,0.68102,1.15929,0.98467,0.97142,0.98809,0.89469,0.45776,0.55703,0.75577,0.000910273,0.000910273,0.000910273
13,1199.31,0.57794,0.65129,1.16686,0.93164,0.8822,0.98338,0.90435,0.44593,0.70647,0.82149,0.000863116,0.000863116,0.000863116
14,1290,0.54173,0.61701,1.13297,0.98992,0.97579,0.99401,0.85697,0.55018,0.5162,0.86239,0.000815959,0.000815959,0.000815959
15,1381.1,0.54019,0.61545,1.15165,0.97831,0.94131,0.98543,0.88588,0.45651,0.62781,0.77891,0.000768802,0.000768802,0.000768802
16,1472.11,0.52951,0.59441,1.14004,0.98073,0.97794,0.98868,0.92253,0.40404,0.47616,0.80891,0.000721645,0.000721645,0.000721645
17,1565.36,0.51429,0.52967,1.11334,0.98689,0.98226,0.98658,0.90057,0.45922,0.43146,0.78941,0.000674488,0.000674488,0.000674488
18,1657.89,0.48971,0.53192,1.11349,0.99499,0.97436,0.98776,0.88883,0.48347,0.45137,0.80738,0.000627331,0.000627331,0.000627331
19,1750.57,0.48566,0.5275,1.10579,0.99525,0.97818,0.9875,0.91847,0.3744,0.38391,0.69307,0.000580174,0.000580174,0.000580174
20,1841.42,0.47092,0.48369,1.08323,0.99404,0.98252,0.98815,0.91905,0.36602,0.36765,0.64815,0.000533017,0.000533017,0.000533017
21,1938.59,0.54962,0.56687,1.36069,0.99403,0.98231,0.99389,0.95098,0.35614,0.48501,0.59856,0.00048586,0.00048586,0.00048586
22,2028.72,0.4649,0.44706,1.28778,0.97735,0.98417,0.98939,0.97605,0.29047,0.42396,0.5081,0.000438703,0.000438703,0.000438703
23,2118.78,0.42563,0.38823,1.2263,0.97235,0.97534,0.99158,0.97429,0.23053,0.38592,0.45103,0.000391546,0.000391546,0.000391546
24,2208.77,0.3825,0.34126,1.17553,0.99374,0.98329,0.99442,0.97939,0.22742,0.34521,0.47753,0.000344389,0.000344389,0.000344389
25,2298.61,0.37759,0.31092,1.18966,0.98739,0.99825,0.995,0.98775,0.22744,0.32889,0.43043,0.000297232,0.000297232,0.000297232
26,2388.57,0.36258,0.30054,1.17699,0.99492,0.99338,0.995,0.995,0.14853,0.27586,0.34694,0.000250075,0.000250075,0.000250075
27,2478.58,0.38555,0.29779,1.19571,0.98967,0.99904,0.995,0.99468,0.15251,0.27615,0.34586,0.000202918,0.000202918,0.000202918
28,2568.98,0.35729,0.28333,1.18408,0.98849,0.99906,0.995,0.99462,0.16614,0.25032,0.35216,0.000155761,0.000155761,0.000155761
29,2658.6,0.34319,0.27587,1.15856,0.9874,0.99914,0.995,0.995,0.16006,0.26318,0.3613,0.000108604,0.000108604,0.000108604
30,2750.72,0.3278,0.26287,1.14548,0.98821,0.99912,0.995,0.995,0.12187,0.21903,0.31758,6.1447e-05,6.1447e-05,6.1447e-05
