epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.799,1.19888,2.40803,1.74132,0.17123,0.39432,0.16331,0.06989,1.59847,4.7435,2.26159,0.000471423,0.000471423,0.000471423
2,249.26,0.91267,1.64646,1.44901,0.31103,0.56202,0.36073,0.28172,0.6724,7.49348,1.1833,0.00091648,0.00091648,0.00091648
3,362.173,0.85664,1.38041,1.39563,0.50557,0.7493,0.52711,0.41062,0.88076,2.88616,1.31883,0.0013301,0.0013301,0.0013301
4,474.571,0.80638,1.18754,1.33197,0.43051,0.75566,0.44835,0.36538,0.78875,3.08534,1.22566,0.00128753,0.00128753,0.00128753
5,586.574,0.77417,1.09575,1.31895,0.4775,0.73465,0.53453,0.44976,0.58511,2.6625,0.96256,0.00124037,0.00124037,0.00124037
6,698.811,0.73364,0.99155,1.2976,0.47265,0.85267,0.51317,0.46026,0.48659,1.95343,0.84019,0.00119322,0.00119322,0.00119322
7,811.32,0.68149,0.86801,1.24039,0.46598,0.87125,0.52758,0.4558,0.57193,2.30452,0.96823,0.00114606,0.00114606,0.00114606
8,923.096,0.67284,0.84318,1.23879,0.5137,0.88562,0.56628,0.50579,0.50186,1.74396,0.80513,0.0010989,0.0010989,0.0010989
9,1040.26,0.61546,0.7966,1.19528,0.45815,0.91509,0.54161,0.48992,0.46,1.77785,0.82795,0.00105174,0.00105174,0.00105174
10,1152.37,0.5855,0.69728,1.17342,0.48481,0.86607,0.5525,0.50196,0.45455,2.28294,0.69453,0.00100459,0.00100459,0.00100459
11,1264.2,0.58301,0.67935,1.16352,0.48614,0.9148,0.57381,0.50869,0.50227,1.66908,0.85879,0.00095743,0.00095743,0.00095743
12,1375.55,0.58422,0.66109,1.16582,0.48726,0.99576,0.57272,0.51924,0.45378,1.71871,0.79807,0.000910273,0.000910273,0.000910273
13,1487.34,0.57944,0.66447,1.16969,0.44451,0.871,0.56616,0.51758,0.41995,1.86178,0.72669,0.000863116,0.000863116,0.000863116
14,1599.86,0.55806,0.65521,1.14788,0.47233,0.92233,0.55631,0.49329,0.51276,1.74741,0.79515,0.000815959,0.000815959,0.000815959
15,1711.51,0.52793,0.60652,1.12719,0.49341,0.89877,0.54823,0.49,0.43461,1.5493,0.79288,0.000768802,0.000768802,0.000768802
16,1822.66,0.51494,0.56172,1.12141,0.46463,0.96267,0.52477,0.47406,0.42143,1.55578,0.75076,0.000721645,0.000721645,0.000721645
17,1940.32,0.48893,0.54677,1.1026,0.48575,0.96275,0.51867,0.47658,0.41333,1.46792,0.67078,0.000674488,0.000674488,0.000674488
18,2051.69,0.50167,0.52964,1.11833,0.49189,0.98485,0.56076,0.52144,0.36627,1.60954,0.62801,0.000627331,0.000627331,0.000627331
19,2162.81,0.49045,0.50412,1.10873,0.48845,0.98328,0.56136,0.51276,0.42934,1.58081,0.67313,0.000580174,0.000580174,0.000580174
20,2274.5,0.50555,0.5157,1.11523,0.48729,0.98485,0.56062,0.50827,0.42071,1.51606,0.64616,0.000533017,0.000533017,0.000533017
21,2384.68,0.59917,0.54183,1.39074,0.47314,0.9339,0.51762,0.48055,0.3839,1.86284,0.67904,0.00048586,0.00048586,0.00048586
22,2495.07,0.42248,0.41779,1.23497,0.48398,0.98298,0.53706,0.50279,0.35908,1.6108,0.56061,0.000438703,0.000438703,0.000438703
23,2604.93,0.42987,0.36868,1.24113,0.48688,0.98016,0.54652,0.53447,0.25853,1.53518,0.45281,0.000391546,0.000391546,0.000391546
24,2716.04,0.40017,0.33861,1.2299,0.48576,0.9779,0.55802,0.55802,0.2037,1.33614,0.41575,0.000344389,0.000344389,0.000344389
25,2834.92,0.3727,0.31105,1.1884,0.48541,0.99822,0.58528,0.58496,0.16755,1.4536,0.37199,0.000297232,0.000297232,0.000297232
26,2945.98,0.3883,0.32126,1.22637,0.48604,0.98431,0.56399,0.56251,0.20298,1.57329,0.40234,0.000250075,0.000250075,0.000250075
27,3056.28,0.3377,0.27969,1.15196,0.48722,0.99608,0.55236,0.55134,0.14828,1.46724,0.36243,0.000202918,0.000202918,0.000202918
28,3167.19,0.35765,0.2704,1.19882,0.48935,0.99911,0.55843,0.55738,0.16224,1.48301,0.34099,0.000155761,0.000155761,0.000155761
29,3278.37,0.31602,0.25316,1.13123,0.48975,0.99982,0.55586,0.55566,0.153,1.55833,0.31904,0.000108604,0.000108604,0.000108604
30,3388.72,0.31632,0.24001,1.14292,0.4889,0.99962,0.52536,0.52488,0.16675,1.60041,0.32079,6.1447e-05,6.1447e-05,6.1447e-05
