epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.706,1.25263,2.99244,1.84649,0.2046,0.78536,0.2828,0.21229,0.84549,3.00282,1.33906,0.000366554,0.000366554,0.000366554
2,222.561,0.91953,2.05764,1.45268,0.45901,0.61044,0.53544,0.37735,0.96924,2.77044,1.43629,0.00071257,0.00071257,0.00071257
3,329.122,0.84588,1.69207,1.36353,0.74439,0.68943,0.77829,0.66006,0.58334,1.8853,0.89822,0.00103414,0.00103414,0.00103414
4,435.795,0.76653,1.43793,1.30821,0.68005,0.78449,0.84248,0.643,0.78854,1.79666,1.23963,0.00100101,0.00100101,0.00100101
5,541.811,0.7355,1.29393,1.27882,0.87232,0.91309,0.96731,0.82204,0.70041,1.23431,1.08324,0.000964348,0.000964348,0.000964348
6,648.382,0.69189,1.13773,1.24515,0.92932,0.93379,0.98709,0.8363,0.57028,1.07665,0.93428,0.000927685,0.000927685,0.000927685
7,754.899,0.64685,1.0547,1.21216,0.92481,0.96055,0.99359,0.88673,0.55254,0.92744,0.92911,0.000891022,0.000891022,0.000891022
8,861.079,0.6428,0.96649,1.21259,0.99048,0.93326,0.98243,0.86625,0.5371,0.89772,0.9468,0.000854359,0.000854359,0.000854359
9,975.282,0.62186,0.9068,1.18256,0.92513,0.91511,0.97796,0.85291,0.55836,0.88029,0.87806,0.000817696,0.000817696,0.000817696
10,1081.3,0.57442,0.85279,1.17043,0.9318,0.96874,0.98489,0.90615,0.47659,0.74867,0.7146,0.000781033,0.000781033,0.000781033
11,1187.57,0.56757,0.78476,1.16064,0.98657,0.94775,0.98676,0.87988,0.49009,0.77163,0.80352,0.00074437,0.00074437,0.00074437
12,1293.18,0.52819,0.73127,1.13446,0.98,0.9756,0.99389,0.91481,0.40472,0.6129,0.68813,0.000707707,0.000707707,0.000707707
13,1399.02,0.55894,0.74566,1.15521,0.99254,0.9926,0.995,0.9297,0.41166,0.55082,0.64373,0.000671044,0.000671044,0.000671044
14,1504.85,0.55612,0.76151,1.17057,0.99276,0.99776,0.995,0.93415,0.37207,0.52488,0.66824,0.000634381,0.000634381,0.000634381
15,1610.76,0.49075,0.6501,1.09466,0.97866,0.99232,0.995,0.93457,0.40121,0.55015,0.70176,0.000597718,0.000597718,0.000597718
16,1716.52,0.5028,0.6803,1.12264,0.99288,0.98195,0.99472,0.93234,0.37494,0.46684,0.64012,0.000561055,0.000561055,0.000561055
17,1822.16,0.50664,0.63076,1.11515,0.98597,0.981,0.99353,0.89336,0.46634,0.53987,0.74634,0.000524392,0.000524392,0.000524392
18,1934.91,0.49504,0.59944,1.10841,0.99341,0.97474,0.9916,0.90748,0.41553,0.49347,0.69823,0.000487729,0.000487729,0.000487729
19,2040.24,0.45326,0.59925,1.07415,0.99673,0.99067,0.995,0.97161,0.26563,0.39898,0.53845,0.000451066,0.000451066,0.000451066
20,2146.08,0.43857,0.55446,1.07766,0.99184,0.99829,0.995,0.9262,0.36628,0.43363,0.61674,0.000414403,0.000414403,0.000414403
21,2251.98,0.55669,0.61471,1.37883,0.9821,0.99476,0.995,0.97058,0.3067,0.51893,0.57647,0.00037774,0.00037774,0.00037774
22,2357.38,0.41189,0.45188,1.19689,0.98567,0.98947,0.99394,0.9804,0.23036,0.4279,0.41803,0.000341077,0.000341077,0.000341077
23,2462.39,0.36501,0.4243,1.18571,0.99714,0.99173,0.995,0.98848,0.24161,0.35659,0.44787,0.000304414,0.000304414,0.000304414
24,2567.67,0.36741,0.39331,1.16782,0.993,0.98235,0.99489,0.98898,0.18606,0.33516,0.38765,0.000267751,0.000267751,0.000267751
25,2672.68,0.35642,0.36745,1.18799,0.98687,0.98896,0.99472,0.99318,0.17681,0.34568,0.34893,0.000231088,0.000231088,0.000231088
26,2784.45,0.3926,0.38488,1.2155,0.99706,0.99064,0.995,0.99304,0.18743,0.32255,0.35642,0.000194425,0.000194425,0.000194425
27,2888.74,0.34448,0.3271,1.18405,0.99489,0.9992,0.995,0.995,0.13116,0.27358,0.32304,0.000157762,0.000157762,0.000157762
28,2994.15,0.35717,0.31992,1.18774,0.9973,1,0.995,0.995,0.17697,0.28786,0.34077,0.000121099,0.000121099,0.000121099
29,3099.53,0.32587,0.29775,1.14837,0.99749,1,0.995,0.995,0.1291,0.25915,0.31653,8.4436e-05,8.4436e-05,8.4436e-05
30,3204.24,0.31878,0.29689,1.13285,0.99296,0.9987,0.995,0.99399,0.13321,0.26196,0.30459,4.7773e-05,4.7773e-05,4.7773e-05
